,Sym,Name,Industry,M Cap,%5d
327,BOC,BOUGAINVILLE COPPER LIMITED,Materials,$168M,-1.1764705882352953
328,BUY,BOUNTY OIL & GAS NL,Energy,$4M,0.0
329,BCB,BOWEN COKING COAL LIMITED,Materials,$65M,50.00000000000001
330,BPH,BPH ENERGY LTD,Financial Services,$13M,-4.545454545454534
331,BP8,BPH GLOBAL LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$2M,-14.285714285714286
332,BPM,BPM MINERALS LIMITED,Materials,$6M,1.5151515151515165
333,BRN,BRAINCHIP HOLDINGS LTD,Software & Services,$621M,43.13725490196077
334,BXB,BRAMBLES LIMITED,Commercial & Professional Services,$27B,-1.0314595152140242
335,BVS,BRAVURA SOLUTIONS LIMITED.,Software & Services,$977M,2.3474178403755994
336,BCM,BRAZILIAN CRITICAL MINERALS LIMITED,Materials,$10M,5.555555555555561
337,BRE,BRAZILIAN RARE EARTHS LIMITED,Class Pend,$533M,-4.721030042918449
338,BTM,BREAKTHROUGH MINERALS LIMITED,Energy,$3M,0.0
339,BRG,BREVILLE GROUP LIMITED,Consumer Durables & Apparel,$5B,1.3157894736842073
340,BKW,BRICKWORKS LIMITED,Materials,$4B,1.3634592910011603
341,BGE,BRIDGE SAAS LIMITED,Software & Services,$9M,0.0
342,BTR,BRIGHTSTAR RESOURCES LIMITED,Materials,$228M,0.0
343,BBL,BRISBANE BRONCOS LIMITED,Media & Entertainment,$93M,1.621621621621623
344,BGP,BRISCOE GROUP AUSTRALASIA LIMITED,Consumer Discretionary Distribution & Retail,$1B,0.0
345,BCK,BROCKMAN MINING LIMITED,Materials,$130M,0.0
346,BRK,BROOKSIDE ENERGY LIMITED,Energy,$42M,3.488372093023259
347,BYH,BRYAH RESOURCES LIMITED,Materials,$2M,0.0
348,BSA,BSA LIMITED,Commercial & Professional Services,$74M,1.5384615384615399
349,BFL,BSP FINANCIAL GROUP LIMITED,Banks,$3B,1.6566265060241012
350,BTC,BTC HEALTH LTD,Not Applic,$23M,4.2253521126760605
351,BUS,BUBALUS RESOURCES LIMITED,Materials,$5M,13.043478260869565
352,BUB,BUBS AUSTRALIA LIMITED,"Food, Beverage & Tobacco",$89M,4.99999999999999
353,BNR,BULLETIN RESOURCES LIMITED,Materials,$11M,0.0
354,BDM,BURGUNDY DIAMOND MINES LIMITED,Materials,$107M,-5.063291139240511
355,BUR,BURLEY MINERALS LTD,Materials,$11M,12.307692307692298
356,BRU,BURU ENERGY LIMITED,Energy,$31M,21.21212121212121
357,BTN,BUTN LIMITED,Financial Services,$20M,-5.405405405405392
358,BUX,BUXTON RESOURCES LIMITED,Materials,$8M,7.89473684210527
359,BWP,BWP TRUST,Equity Real Estate Investment Trusts (REITs),$2B,0.8823529411764779
360,C29,C29 METALS LIMITED,Materials,$9M,0.0
361,CDM,CADENCE CAPITAL LIMITED,Not Applic,$204M,1.609018876268343e-14
362,CDO,CADENCE OPPORTUNITIES FUND LIMITED.,Not Applic,$26M,0.0
363,CCM,CADOUX LIMITED,Materials,$21M,7.27272727272728
364,CAI,CALIDUS RESOURCES LIMITED,Materials,NaN,0.0
365,CXL,CALIX LIMITED,Materials,$157M,0.0
366,CMB,CAMBIUM BIO LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$6M,0.0
367,CHL,CAMPLIFY HOLDINGS LIMITED,Transportation,$49M,2.85714285714286
368,CAN,CANN GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$20M,1.3157894736842117
369,CAE,CANNINDAH RESOURCES LIMITED,Materials,$29M,-2.4390243902439046
370,CBY,CANTERBURY RESOURCES LIMITED,Materials,$5M,0.0
371,CAY,CANYON RESOURCES LIMITED,Materials,$255M,12.121212121212116
372,CAG,CAPE RANGE LTD,Software & Services,$12M,4.3478260869565135
373,CAA,CAPRAL LIMITED,Materials,$171M,-0.19999999999999574
374,CRS,CAPRICE RESOURCES LTD,Materials,$9M,-4.347826086956526
375,CMM,CAPRICORN METALS LTD,Materials,$3B,-3.7537537537537538
376,CSC,CAPSTONE COPPER CORP.,Materials,$10B,9.129066107030441
377,CAQ,CAQ HOLDINGS LIMITED,Real Estate Management & Development,$6M,0.0
378,CAR,CAR GROUP LIMITED,Media & Entertainment,$14B,-1.079799841980502
379,CVV,CARAVEL MINERALS LIMITED,Materials,$105M,1.3513513513513526
380,CWX,CARAWINE RESOURCES LIMITED,Materials,$24M,1.010101010101011
381,CRB,CARBINE RESOURCES LIMITED,Materials,$2M,66.66666666666667
382,CG1,CARBONXT GROUP LIMITED,Materials,$23M,7.936507936507944
383,CDX,CARDIEX LIMITED,Health Care Equipment & Services,$29M,-1.0638297872340434
384,CDD,CARDNO LIMITED,Commercial & Professional Services,$9M,7.499999999999993
385,CTQ,CARETEQ LIMITED,Health Care Equipment & Services,$2M,0.0
386,CDP,CARINDALE PROPERTY TRUST,Equity Real Estate Investment Trusts (REITs),$388M,1.4830508474576332
387,CIN,CARLTON INVESTMENTS LIMITED,Not Applic,$797M,2.38726790450928
388,CL8,CARLY HOLDINGS LIMITED,Transportation,NaN,0.0
389,CNB,CARNABY RESOURCES LIMITED,Materials,$75M,4.2253521126760605
390,CVN,CARNARVON ENERGY LIMITED,Energy,$268M,0.0
391,CAV,CARNAVALE RESOURCES LIMITED,Materials,$16M,0.0
392,CCE,CARNEGIE CLEAN ENERGY LIMITED,Utilities,$14M,-2.6315789473684235
393,CCV,CASH CONVERTERS INTERNATIONAL,Financial Services,$157M,0.0
394,CPN,CASPIN RESOURCES LIMITED,Materials,$7M,-3.9215686274509705
395,CMD,CASSIUS MINING LIMITED,Materials,$7M,85.71428571428572
396,CST,CASTILE RESOURCES LTD,Materials,$24M,6.666666666666673
397,CDT,CASTLE MINERALS LIMITED,Materials,$4M,25.0
398,CTN,CATALINA RESOURCES LTD,Materials,$4M,0.0
399,CYL,CATALYST METALS LIMITED,Materials,$579M,-0.7633587786259548
400,CAT,CATAPULT GROUP INTERNATIONAL LTD,Software & Services,$915M,6.508875739644977
401,CXU,CAULDRON ENERGY LIMITED,Energy,$19M,18.181818181818198
402,CVR,CAVALIER RESOURCES LIMITED,Materials,$6M,0.0
403,CAZ,CAZALY RESOURCES LIMITED,Materials,$6M,-13.333333333333323
404,CD1,CD PRIVATE EQUITY FUND I,Not Applic,$23M,0.8130081300813016
405,CD2,CD PRIVATE EQUITY FUND II,Not Applic,$45M,4.878048780487809
406,CD3,CD PRIVATE EQUITY FUND III,Not Applic,$91M,0.39682539682540596
407,CWP,CEDAR WOODS PROPERTIES LIMITED,Real Estate Management & Development,$458M,1.8382352941176403
408,CLA,CELSIUS RESOURCES LIMITED.,Materials,$27M,0.0
409,CTM,CENTAURUS METALS LIMITED,Materials,$179M,2.898550724637684
410,CTP,CENTRAL PETROLEUM LIMITED,Energy,$39M,0.0
411,CAF,CENTREPOINT ALLIANCE LIMITED,Financial Services,$66M,1.5873015873015888
412,CXM,CENTREX LIMITED,Materials,$15M,0.0
413,CNI,CENTURIA CAPITAL GROUP,Equity Real Estate Investment Trusts (REITs),$2B,1.91780821917809
414,CIP,CENTURIA INDUSTRIAL REIT,Equity Real Estate Investment Trusts (REITs),$2B,1.04529616724738
415,COF,CENTURIA OFFICE REIT,Equity Real Estate Investment Trusts (REITs),$684M,0.43668122270743365
416,CTT,CETTIRE LIMITED,Consumer Discretionary Distribution & Retail,$547M,13.0859375
417,CGR,CGN RESOURCES LIMITED,Materials,$7M,-3.333333333333325
418,CHN,CHALICE MINING LIMITED,Materials,$426M,4.629629629629633
419,CEL,CHALLENGER GOLD LIMITED,Materials,$67M,13.157894736842117
420,CGF,CHALLENGER LIMITED,Financial Services,$4B,1.1705685618728996
421,CIA,CHAMPION IRON LIMITED,Materials,$3B,0.9548611111111216
422,CCA,CHANGE FINANCIAL LIMITED,Financial Services,$38M,-9.374999999999998
423,CHR,CHARGER METALS NL,Materials,$5M,3.1746031746031775
424,CHRCA,CHARGER METALS NL,Materials,$5M,0.0
425,CC9,CHARIOT CORPORATION LTD,Materials,$20M,0.0
426,CHC,CHARTER HALL GROUP,Equity Real Estate Investment Trusts (REITs),$7B,4.453723034098821
427,CLW,CHARTER HALL LONG WALE REIT,Equity Real Estate Investment Trusts (REITs),$3B,3.183023872679048
428,CQR,CHARTER HALL RETAIL REIT,Equity Real Estate Investment Trusts (REITs),$2B,-1.0835913312693406
429,CQE,CHARTER HALL SOCIAL INFRASTRUCTURE REIT,Equity Real Estate Investment Trusts (REITs),$997M,5.019305019305032
430,CMX,CHEMX MATERIALS LIMITED,Materials,NaN,1.3344026738283132e-14
431,CHW,CHILWA MINERALS LTD,Materials,$53M,-11.04294478527607
432,CHM,CHIMERIC THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$9M,0.0
433,CNU,CHORUS LIMITED,Telecommunication Services,$3B,1.7743979721165992
434,C79,CHRYSOS CORPORATION LIMITED,Commercial & Professional Services,$565M,3.9915966386554707
435,CTO,CITIGOLD CORPORATION LIMITED,Materials,$12M,-12.5
436,CCX,CITY CHIC COLLECTIVE LIMITED,Consumer Discretionary Distribution & Retail,$39M,0.0
437,CVL,CIVMEC LIMITED,Capital Goods,$676M,-1.9157088122605297
438,C7A,CLARA RESOURCES AUSTRALIA LTD,Materials,$2M,0.0
439,CU6,CLARITY PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$1B,-14.889336016096566
440,CLZ,CLASSIC MINERALS LTD,Materials,NaN,0.0
441,CSS,CLEAN SEAS SEAFOOD LIMITED,"Food, Beverage & Tobacco",$18M,-27.59999999999999
442,CNQ,CLEAN TEQ WATER LIMITED,Commercial & Professional Services,$20M,3.703703703703707
443,CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,Commercial & Professional Services,$6B,0.0
444,CSX,CLEANSPACE HOLDINGS LIMITED,Health Care Equipment & Services,$35M,5.952380952380958
445,CVW,CLEARVIEW WEALTH LIMITED,Insurance,$237M,-1.3333333333333346
446,CPV,CLEARVUE TECHNOLOGIES LIMITED,Capital Goods,$63M,19.04761904761905
447,COV,CLEO DIAGNOSTICS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$46M,-1.3888888888888902
448,CC5,CLEVER CULTURE SYSTEMS LIMITED,Health Care Equipment & Services,$30M,11.764705882352931
449,CAM,CLIME CAPITAL LIMITED,Not Applic,$121M,0.0
450,CIW,CLIME INVESTMENT MANAGEMENT LTD,Financial Services,$27M,0.0
451,CUV,CLINUVEL PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$608M,4.1876046901172534
452,CLG,CLOSE THE LOOP LTD.,Commercial & Professional Services,$120M,0.0
453,CLV,CLOVER CORPORATION LIMITED,Materials,$71M,1.1363636363636374
454,CLU,CLUEY LTD,Consumer Services,$14M,4.761904761904749
455,CEH,COAST ENTERTAINMENT HOLDINGS LIMITED,Consumer Services,$216M,6.382978723404261
456,COB,COBALT BLUE HOLDINGS LIMITED,Materials,$29M,-2.2388059701492558
457,CBO,COBRAM ESTATE OLIVES LIMITED,"Food, Beverage & Tobacco",$880M,2.3809523809523725
458,CBE,COBRE LIMITED,Materials,$22M,2.0000000000000018
459,COH,COCHLEAR LIMITED,Health Care Equipment & Services,$19B,1.408402322146256
460,COD,CODA MINERALS LTD,Materials,$21M,27.142857142857125
461,CDA,CODAN LIMITED,Technology Hardware & Equipment,$3B,4.379795396419429
462,CDE,CODEIFAI LIMITED,Commercial & Professional Services,$3M,0.0
463,CDR,CODRUS MINERALS LIMITED,Materials,$3M,0.0
464,COG,COG FINANCIAL SERVICES LIMITED,Financial Services,$183M,0.5319148936170336
465,CGS,COGSTATE LTD,Health Care Equipment & Services,$183M,-3.255813953488365
466,CKA,COKAL LIMITED,Materials,$65M,-7.936507936507933
467,COL,COLES GROUP LIMITED.,Consumer Staples Distribution & Retail,$25B,1.1752136752136881
468,CKF,COLLINS FOODS LIMITED,Consumer Services,$866M,1.0958904109589052
469,COI,COMET RIDGE LIMITED,Energy,$173M,0.0
470,CBA,COMMONWEALTH BANK OF AUSTRALIA.,Banks,$260B,-0.10898134495802032
471,CCG,COMMS GROUP LTD,Telecommunication Services,$30M,6.849315068493158
472,CF1,COMPLII FINTECH SOLUTIONS LTD,Software & Services,$13M,26.315789473684216
473,CMP,COMPUMEDICS LIMITED,Health Care Equipment & Services,$51M,3.921568627450984
474,CPU,COMPUTERSHARE LIMITED.,Commercial & Professional Services,$20B,2.1791044776119524
475,CND,CONDOR ENERGY LIMITED,Energy,$11M,-5.000000000000004
476,CNJ,CONICO LTD,Materials,$2M,0.0
477,CML,CONNECTED MINERALS LIMITED,Technology Hardware & Equipment,$9M,8.333333333333341
478,CXZ,CONNEXION MOBILITY LTD,Software & Services,$22M,1.3344026738283132e-14
479,CRD,CONRAD ASIA ENERGY LTD.,Energy,$160M,-0.5586592178770955
480,CR1,CONSTELLATION RESOURCES LIMITED,Materials,$13M,11.111111111111121
481,CT1,CONSTELLATION TECHNOLOGIES LIMITED,Technology Hardware & Equipment,$3M,0.0
482,CEN,CONTACT ENERGY LIMITED,Utilities,$7B,1.7262638717632623
483,CBL,CONTROL BIONICS LIMITED,Health Care Equipment & Services,$15M,5.172413793103441
484,CBH,COOLABAH METALS LIMITED,Materials,NaN,0.0
485,CPM,COOPER METALS LIMITED,Materials,$3M,13.157894736842117
486,CUS,COPPER SEARCH LIMITED,Materials,$4M,0.0
487,COY,COPPERMOLY LIMITED,Materials,$9M,-7.142857142857137
488,CZN,CORAZON MINING LIMITED,Materials,$3M,-33.333333333333336
489,CR3,CORE ENERGY MINERALS LTD,Materials,$4M,-17.24137931034483
490,CXO,CORE LITHIUM LTD,Materials,$176M,6.250000000000005
491,CR9,CORELLA RESOURCES LTD,Materials,$1M,0.0
492,CRN,CORONADO GLOBAL RESOURCES INC.,Materials,$1B,0.671140939597316
493,CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,Consumer Services,$2B,2.775636083269078
494,CMO,COSMO METALS LIMITED,Materials,$3M,22.222222222222225
495,C1X,COSMOS EXPLORATION LIMITED,Materials,$3M,-21.951219512195124
496,COS,COSOL LIMITED,Software & Services,$186M,6.666666666666672
497,CUP,COUNT LIMITED,Commercial & Professional Services,$133M,4.575163398692815
498,CYG,COVENTRY GROUP LIMITED,Capital Goods,$145M,-1.6666666666666683
499,CGO,CPT GLOBAL LIMITED,Software & Services,$3M,-12.676056338028163
500,CCR,CREDIT CLEAR LIMITED,Software & Services,$135M,7.812500000000007
501,CCP,CREDIT CORP GROUP LIMITED,Financial Services,$1B,-1.5921616656460382
502,CI1,CREDIT INTELLIGENCE LTD,Commercial & Professional Services,NaN,0.0
503,CRI,CRITICA LIMITED,Materials,$35M,18.181818181818183
504,CMG,CRITICAL MINERALS GROUP LIMITED,Materials,$12M,17.85714285714285
505,CRR,CRITICAL RESOURCES LIMITED,Materials,$15M,20.0
506,CMW,CROMWELL PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs),$1B,2.564102564102566
507,CTE,CRYOSITE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$41M,0.0
508,CSL,CSL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$136B,1.2733598766096386
509,CLX,CTI LOGISTICS LIMITED,Transportation,$144M,-3.999999999999998
510,CUE,CUE ENERGY RESOURCES LIMITED,Energy,$66M,1.0526315789473693
511,CUF,CUFE LTD,Materials,$13M,25.0
512,CUL,CULLEN RESOURCES LIMITED,Materials,$3M,0.0
513,CPO,CULPEO MINERALS LIMITED,Materials,$5M,-9.999999999999993
514,CVB,CURVEBEAM AI LIMITED,Health Care Equipment & Services,$43M,0.0
515,CCL,CUSCAL LIMITED,Financial Services,$443M,-0.4273504273504183
516,CVC,CVC LIMITED,Financial Services,$268M,1.9308226515220114e-14
517,CYQ,CYCLIQ GROUP LTD,Consumer Durables & Apparel,$2M,33.333333333333336
518,CLE,CYCLONE METALS LIMITED,Materials,$50M,6.666666666666673
519,CYC,CYCLOPHARM LIMITED,Health Care Equipment & Services,$168M,-0.33003300330032304
520,CY5,CYGNUS METALS LIMITED,Materials,$51M,-4.545454545454549
521,CYP,CYNATA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$47M,7.692307692307685
522,CYM,CYPRIUM METALS LIMITED,Materials,$38M,8.333333333333341
523,CZR,CZR RESOURCES LTD,Materials,$49M,7.692307692307685
524,D3E,D3 ENERGY LIMITED,Energy,$10M,6.666666666666673
525,DAL,DALAROO METALS LTD,Materials,$4M,-5.263157894736847
526,DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED,Transportation,$2B,3.1518624641833775
527,DTM,DART MINING NL,Materials,$6M,0.0
528,DTL,DATA#3 LIMITED,Software & Services,$996M,0.15503875968991918
529,DDT,DATADOT TECHNOLOGY LIMITED,Automobiles & Components,$5M,0.0
530,DTR,DATELINE RESOURCES LIMITED,Materials,$8M,0.0
531,DEG,DE GREY MINING LIMITED,Materials,$4B,0.5586592178770955
532,DEM,DE.MEM LIMITED,Utilities,$37M,0.0
533,DYL,DEEP YELLOW LIMITED,Energy,$1B,8.05687203791471
534,DEL,DELOREAN CORPORATION LIMITED,Utilities,$35M,-5.8823529411764754
535,DLI,DELTA LITHIUM LIMITED,Materials,$118M,0.0
536,DGH,DESANE GROUP HOLDINGS LIMITED,Real Estate Management & Development,$35M,0.0
537,DM1,DESERT METALS LIMITED,Materials,$6M,4.545454545454549
538,DES,DESOTO RESOURCES LIMITED,Materials,$7M,0.0
539,DRR,DETERRA ROYALTIES LIMITED,Materials,$2B,3.485254691689005
540,DVP,DEVELOP GLOBAL LIMITED,Materials,$598M,4.1860465116279215
541,DEV,DEVEX RESOURCES LIMITED,Energy,$41M,0.0
542,DXS,DEXUS,Equity Real Estate Investment Trusts (REITs),$8B,4.783258594917778
543,DXC,DEXUS CONVENIENCE RETAIL REIT,Equity Real Estate Investment Trusts (REITs),$402M,-2.0134228187919483
544,DXI,DEXUS INDUSTRIA REIT.,Equity Real Estate Investment Trusts (REITs),$828M,-1.1278195488721898
545,DGL,DGL GROUP LIMITED,Materials,$170M,-5.600000000000005
546,DGR,DGR GLOBAL LIMITED,Materials,$10M,0.0
547,DBO,DIABLO RESOURCES LIMITED,Materials,$2M,0.0
548,DRX,DIATREME RESOURCES LIMITED,Materials,$105M,-4.347826086956526
549,DDR,DICKER DATA LIMITED,Technology Hardware & Equipment,$2B,2.52403846153845
550,DGT,DIGICO INFRASTRUCTURE REIT,Class Pend,$3B,0.674157303370792
551,DCC,DIGITALX LIMITED,Software & Services,$49M,11.798762227989615
552,DXB,DIMERIX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$173M,3.1250000000000027
553,DAF,DISCOVERY ALASKA LIMITED,Materials,$3M,0.0
554,DUI,DIVERSIFIED UNITED INVESTMENT LIMITED,Not Applic,$1B,-0.09433962264150743
555,DJW,DJERRIWARRH INVESTMENTS LIMITED,Not Applic,$849M,0.940438871473362
556,DMM,DMC MINING LIMITED.,Materials,NaN,0.0
557,DOC,DOCTOR CARE ANYWHERE GROUP PLC,Health Care Equipment & Services,$29M,5.555555555555561
558,DCL,DOMACOM LIMITED,Financial Services,NaN,0.0
559,DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,Media & Entertainment,$2B,1.6064257028112463
560,DME,DOME GOLD MINES LIMITED,Materials,$79M,0.0
561,DLM,DOMINION MINERALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
562,DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,Consumer Services,$3B,0.9827177228058256
563,DNA,DONACO INTERNATIONAL LIMITED,Consumer Services,$35M,3.703703703703707
564,DVL,DORSAVI LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$9M,0.0
565,DTZ,DOTZ NANO LIMITED,Technology Hardware & Equipment,$54M,0.0
566,DOU,DOUUGH LIMITED,Telecommunication Services,$8M,7.1428571428571495
567,DOW,DOWNER EDI LIMITED,Commercial & Professional Services,$4B,-2.2181146025878022
568,DRA,DRA GLOBAL LIMITED,Capital Goods,$82M,0.0
569,DMG,DRAGON MOUNTAIN GOLD LIMITED,Materials,$2M,0.0
570,DRE,DREADNOUGHT RESOURCES LTD,Materials,$41M,4.545454545454549
571,DRO,DRONESHIELD LIMITED,Capital Goods,$558M,20.967741935483872
572,DSE,DROPSUITE LIMITED,Software & Services,$329M,-2.1505376344086136
573,DTI,DTI GROUP LTD,Technology Hardware & Equipment,$6M,0.0
574,DUB,DUBBER CORPORATION LIMITED,Software & Services,$68M,8.333333333333341
575,DUG,DUG TECHNOLOGY LTD,Software & Services,$174M,2.09923664122138
576,DKM,DUKETON MINING LIMITED,Materials,$12M,0.0
577,DUN,DUNDAS MINERALS LIMITED,Materials,$4M,2.9411764705882377
578,DUR,DURATEC LIMITED,Capital Goods,$378M,-4.1935483870967705
579,DSK,DUSK GROUP LIMITED,Consumer Discretionary Distribution & Retail,$75M,4.201680672268911
580,DBF,DUXTON FARMS LTD,"Food, Beverage & Tobacco",$58M,1.8248175182481685
581,D2O,DUXTON WATER LIMITED,Utilities,$205M,3.1007751937984525
582,DXN,DXN LIMITED,Software & Services,$16M,-5.172413793103453
583,DY6,DY6 METALS LTD,Class Pend,$3M,0.0
584,DDB,DYNAMIC GROUP HOLDINGS LIMITED,Capital Goods,$39M,0.0
585,DYM,DYNAMIC METALS LIMITED,Materials,$14M,5.660377358490571
586,EP1,E&P FINANCIAL GROUP LIMITED,Financial Services,NaN,8.421052631578956
587,E79,E79 GOLD MINES LIMITED,Materials,$2M,5.555555555555561
588,APE,EAGERS AUTOMOTIVE LIMITED,Consumer Discretionary Distribution & Retail,$3B,4.525483304042169
589,EM2,EAGLE MOUNTAIN MINING LIMITED,Materials,$4M,-9.999999999999993
590,EPY,EARLYPAY LTD,Financial Services,$53M,2.500000000000002
591,EE1,EARTHS ENERGY LIMITED,Materials,$8M,0.0
592,EMS,EASTERN METALS LIMITED,Materials,$2M,24.999999999999993
593,EFE,EASTERN RESOURCES LIMITED,Materials,$4M,-6.666666666666662
594,EBO,EBOS GROUP LIMITED,Health Care Equipment & Services,$7B,3.281155930162563
595,EBR,EBR SYSTEMS INC.,Health Care Equipment & Services,$375M,4.568527918781729
596,ECH,ECHELON RESOURCES LIMITED,Energy,$77M,-1.4285714285714142
597,EIQ,ECHOIQ LIMITED,Software & Services,$141M,3.4090909090909123
598,EPM,ECLIPSE METALS LIMITED.,Energy,$11M,0.0
599,EOF,ECOFIBRE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$11M,7.142857142857137
600,EGR,ECOGRAF LIMITED,Materials,$41M,1.1494252873563229
601,ECP,ECP EMERGING GROWTH LIMITED,Not Applic,$27M,0.0
602,ECS,ECS BOTANICS HOLDINGS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$21M,0.0
603,EDE,EDEN INNOVATIONS LTD,Energy,$8M,-25.0
604,EDU,EDU HOLDINGS LIMITED,Consumer Services,$14M,0.0
605,EDC,EILDON CAPITAL GROUP,Financial Services,$46M,2.7472527472527495
606,ECF,ELANOR COMMERCIAL PROPERTY FUND,Equity Real Estate Investment Trusts (REITs),$250M,1.6260162601626031
607,ENN,ELANOR INVESTORS GROUP,Consumer Services,NaN,0.0
608,ELD,ELDERS LIMITED,"Food, Beverage & Tobacco",$1B,1.5449438202247237
609,EOS,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,Capital Goods,$230M,18.552036199095028
610,E25,ELEMENT 25 LIMITED,Materials,$57M,-1.9230769230769247
611,ELT,ELEMENTOS LIMITED,Materials,$17M,-2.7777777777777612
612,EL8,ELEVATE URANIUM LTD,Energy,$93M,4.1666666666666705
613,EXL,ELIXINOL WELLNESS LIMITED,Household & Personal Products,$8M,8.108108108108116
614,EXR,ELIXIR ENERGY LIMITED,Energy,$54M,7.142857142857133
615,ELS,ELSIGHT LIMITED,Technology Hardware & Equipment,$58M,0.0
616,EVO,EMBARK EARLY EDUCATION LIMITED,Consumer Services,$140M,1.3157894736842117
617,EMB,EMBELTON LIMITED,Capital Goods,$18M,0.0
618,EHL,EMECO HOLDINGS LIMITED,Capital Goods,$472M,1.0989010989010999
619,EMR,EMERALD RESOURCES NL,Materials,$2B,-3.4482758620689684
620,EMT,EMETALS LIMITED,Not Applic,$3M,0.0
621,EML,EML PAYMENTS LIMITED,Financial Services,$300M,-12.7659574468085
622,ERM,EMMERSON RESOURCES LIMITED,Materials,$47M,1.3513513513513526
623,EMP,EMPEROR ENERGY LIMITED,Energy,$15M,7.999999999999994
624,EEG,EMPIRE ENERGY GROUP LIMITED,Energy,$224M,10.256410256410252
625,ERL,EMPIRE RESOURCES LIMITED,Materials,$6M,100.0
626,EMU,EMU NL,Materials,$5M,11.538461538461549
627,EMUCA,EMU NL,Materials,$5M,0.0
628,EMV,EMVISION MEDICAL DEVICES LTD,Health Care Equipment & Services,$160M,-0.7936507936507885
629,EMD,EMYRIA LIMITED,Health Care Equipment & Services,$16M,-5.555555555555542
630,ENR,ENCOUNTER RESOURCES LIMITED,Materials,$164M,10.000000000000009
631,EDV,ENDEAVOUR GROUP LIMITED,Consumer Staples Distribution & Retail,$8B,0.7142857142857202
632,ERG,ENECO REFRESH LTD,"Food, Beverage & Tobacco",$6M,-4.545454545454534
633,ENX,ENEGEX LIMITED,Materials,$6M,0.0
634,EAX,ENERGY ACTION LIMITED,Commercial & Professional Services,$11M,-17.39130434782609
635,EME,ENERGY METALS LTD,Energy,$20M,-8.988764044943814
636,EOL,ENERGY ONE LIMITED,Software & Services,$214M,5.061349693251549
637,ERA,ENERGY RESOURCES OF AUSTRALIA LIMITED,Energy,$1B,-16.666666666666668
638,EGY,ENERGY TECHNOLOGIES LIMITED,Capital Goods,$14M,0.0
639,ETM,ENERGY TRANSITION MINERALS LTD,Materials,$44M,6.250000000000005
640,EWC,ENERGY WORLD CORPORATION LTD,Utilities,$58M,25.0
641,EGG,ENERO GROUP LIMITED,Media & Entertainment,$96M,-4.16666666666668
642,EGN,ENGENCO LIMITED,Capital Goods,$55M,1.5860328923216522e-14
643,ENL,ENLITIC INC.,Health Care Equipment & Services,$36M,12.727272727272727
644,ENV,ENOVA MINING LIMITED,Materials,$5M,-16.666666666666668
645,EEL,ENRG ELEMENTS LTD,Materials,$3M,0.0
646,ENT,ENTERPRISE METALS LIMITED,Materials,$5M,0.0
647,EAT,ENTERTAINMENT REWARDS LTD,Media & Entertainment,$5M,0.0
648,ETR,ENTYR LIMITED,Commercial & Professional Services,NaN,0.0
649,ECT,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,Commercial & Professional Services,$8M,25.0
650,EGL,ENVIRONMENTAL GROUP LIMITED (THE),Capital Goods,$118M,1.6666666666666683
651,EVS,ENVIROSUITE LIMITED,Software & Services,$79M,0.0
652,EPX,EP&T GLOBAL LIMITED,Software & Services,$12M,0.0
653,EPN,EPSILON HEALTHCARE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
654,EQR,EQ RESOURCES LIMITED,Materials,$96M,-2.3809523809523827
655,EQT,EQT HOLDINGS LIMITED,Financial Services,$841M,0.6402048655569874
656,EQX,EQUATORIAL RESOURCES LIMITED,Materials,$14M,0.0
657,EQN,EQUINOX RESOURCES LIMITED.,Materials,$14M,0.0
658,EQS,EQUITY STORY GROUP LTD,Financial Services,$4M,-4.0000000000000036
659,EQE,EQUUS MINING LIMITED,Materials,NaN,0.0
660,ERD,EROAD LIMITED,Technology Hardware & Equipment,$199M,11.351351351351349
661,ERW,ERRAWARRA RESOURCES LTD,Materials,$5M,2.0000000000000018
662,ESR,ESTRELLA RESOURCES LIMITED,Materials,$40M,-2.3809523809523827
